Año;Mes;División;Grupo;Clase;Subclase;Producto;Glosa;Ponderación;Índice;Variación Mensual ( % );Variación Acumulada ( % );Variación 12 Meses ( % );Incidencia Mensual ( % );Incidencia Acumulada ( % );Incidencia 12 Meses ( % ),,,,,,,,,,,
2014;1;5;4;;;;ARTÍCULOS DE VIDRIO Y CRISTAL, VAJILLA Y UTENSILIOS PARA EL HOGAR;0,29348;99,64;0,7;0,7;;0,002;0,002;,,,,
2014;1;9;4;;;;PERIÓDICOS, LIBROS Y ÚTILES DE OFICINA;0,85491;100,26;-0,1;-0,1;;-0,001;-0,001;,,,,
2014;1;10;4;;;;ENSEÑANZA SUPERIOR (TERCIARIA);5,01108;100,97;0,0;0,0;;0,000;0,000;,,,,,
2014;1;12;4;;;;SERVICIOS FINANCIEROS;2,42126;99,93;-0,5;-0,5;;-0,013;-0,013;,,,,,
2014;1;5;5;;;;HERRAMIENTAS Y EQUIPOS PARA EL HOGAR Y EL JARDÍN;0,39331;101,04;0,5;0,5;;0,002;0,002;,,,,,
2014;1;9;5;;;;PAQUETES TURÍSTICOS;0,78711;105,72;-0,3;-0,3;;-0,003;-0,003;,,,,,
2014;1;10;5;;;;ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL U OTRAS ENSEÑANZAS;0,10569;101,21;1,8;1,8;;0,002;0,002;,,,,,
2014;1;12;5;;;;OTROS SERVICIOS;0,85856;104,34;1,1;1,1;;0,010;0,010;,,,,,
2014;1;5;6;;;;BIENES Y SERVICIOS PARA LA CONSERVACIÓN CORRIENTE DEL HOGAR;3,85249;102,09;-0,2;-0,2;;-0,007;-0,007;,,,,,
2014;1;1;1;1;;;PAN Y CEREALES;3,91203;101,49;0,2;0,2;;0,010;0,010;,,,,,
2014;1;2;1;1;;;BEBIDAS DESTILADAS;0,47122;104,06;0,0;0,0;;0,000;0,000;,,,,,
2014;1;3;1;1;;;MATERIALES PARA VESTUARIO;0,04405;99,98;0,2;0,2;;0,000;0,000;,,,,,
2014;1;4;1;1;;;ARRIENDOS EFECTIVOS;4,16621;102,66;0,6;0,6;;0,025;0,025;,,,,,
2014;1;5;1;1;;;MUEBLES Y ARTÍCULOS PARA EL HOGAR;1,20635;100,20;1,0;1,0;;0,012;0,012;,,,,,
2014;1;6;1;1;;;PRODUCTOS FARMACÉUTICOS;1,87376;102,43;1,5;1,5;;0,027;0,027;,,,,,
2014;1;7;1;1;;;VEHÍCULOS A MOTOR;4,28341;102;1,2;1,2;;0,052;0,052;,,,,,,
2014;1;8;1;1;;;EQUIPOS TELEFÓNICOS;0,40978;87,31;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;1;1;;;EQUIPOS PARA LA RECEPCIÓN, GRABACIÓN Y REPRODUCCIÓN DE SONIDOS E IMÁGENES;0,70668;93,72;2,3;2,3;;0,014;0,014;,,,,
2014;1;10;1;1;;;ENSEÑANZA PRE-ESCOLAR Y ENSEÑANZA BÁSICA (PRIMARIA);2,11003;101,1;0,0;0,0;;0,000;0,000;,,,,,
2014;1;11;1;1;;;RESTAURANTES, CAFÉS Y ESTABLECIMIENTOS SIMILARES;3,95331;104,94;0,8;0,8;;0,033;0,033;,,,,
2014;1;12;1;1;;;SALONES DE PELUQUERÍA Y ESTABLECIMIENTOS DE CUIDADOS PERSONALES;0,40648;102,77;0,4;0,4;;0,002;0,002;,,,,,
2014;1;1;2;1;;;CAFÉ, TÉ Y CACAO;0,36607;101,09;0,3;0,3;;0,001;0,001;,,,,
2014;1;2;2;1;;;TABACO;1,51213;106,43;0,0;0,0;;0,000;0,000;,,,,,
2014;1;3;2;1;;;ZAPATOS Y OTROS CALZADOS;1,20336;92,07;-3,6;-3,6;;-0,041;-0,041;,,,,,
2014;1;4;2;1;;;MATERIALES PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA;0,82714;102,58;-1,2;-1,2;;-0,010;-0,010;,,,,,
2014;1;5;2;1;;;TEXTILES PARA EL HOGAR;0,29162;97,37;-1,8;-1,8;;-0,005;-0,005;,,,,,
2014;1;6;2;1;;;SERVICIOS MÉDICOS;1,21586;101,67;0,6;0,6;;0,008;0,008;,,,,,
2014;1;7;2;1;;;PIEZAS DE REPUESTOS Y ACCESORIOS PARA VEHÍCULOS DE TRANSPORTE PERSONAL;0,44194;99,48;3,4;3,4;;0,014;0,014;,,,,,
2014;1;8;2;1;;;SERVICIOS DE TELECOMUNICACIONES;4,59086;100,38;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;2;1;;;JUGUETES Y CONSOLAS DE VIDEOJUEGO;0,49573;97,70;0,2;0,2;;0,001;0,001;,,,,,
2014;1;10;2;1;;;ENSEÑANZA MEDIA (SECUNDARIA);0,7535;100,89;0,0;0,0;;0,000;0,000;,,,,,
2014;1;11;2;1;;;SERVICIOS DE ALOJAMIENTO;0,42123;104,74;0,9;0,9;;0,004;0,004;,,,,,
2014;1;12;2;1;;;JOYERÍA Y RELOJES;0,20981;100,5;0,5;0,5;;0,001;0,001;,,,,,
2014;1;4;3;1;;;SUMINISTRO DE AGUA;1,85621;103,0;0,3;0,3;;0,006;0,006;,,,,,
2014;1;5;3;1;;;GRANDES ARTEFACTOS ELÉCTRICOS O NO PARA EL HOGAR;0,68698;95,84;0,5;0,5;;0,003;0,003;,,,,,
2014;1;6;3;1;;;SERVICIOS DE HOSPITAL;0,8264;101,56;0,5;0,5;;0,005;0,005;,,,,,
2014;1;7;3;1;;;TRANSPORTE DE PASAJEROS POR VÍAS URBANAS Y CARRETERAS;2,47676;105,60;1,1;1,1;;0,029;0,029;,,,,,
2014;1;9;3;1;;;SERVICIOS DE RECREACIÓN Y DEPORTIVOS;0,80069;103,16;0,3;0,3;;0,002;0,002;,,,,,
2014;1;10;3;1;;;ENSEÑANZA POSTSECUNDARIA NO TERCIARIA;0,10966;102,08;0,0;0,0;;0,000;0,000;,,,,,
2014;1;12;3;1;;;SEGUROS RELACIONADOS CON EL TRANSPORTE;0,48124;99,41;4,3;4,3;;0,019;0,019;,,,,,
2014;1;4;4;1;;;ELECTRICIDAD;2,69314;100,00;-0,1;-0,1;;-0,003;-0,003;,,,,,
2014;1;5;4;1;;;ARTÍCULOS DE VIDRIO Y CRISTAL, VAJILLA Y UTENSILIOS PARA EL HOGAR;0,29348;99,64;0,7;0,7;;0,002;0,002;,,,,
2014;1;9;4;1;;;LIBROS, DICCIONARIOS, ENCICLOPEDIAS Y OTROS SIMILARES;0,45577;100,47;0,1;0,1;;0,000;0,000;,,,
2014;1;10;4;1;;;ENSEÑANZA SUPERIOR (TERCIARIA);5,01108;100,97;0,0;0,0;;0,000;0,000;,,,,,
2014;1;12;4;1;;;OTROS SERVICIOS FINANCIEROS;2,42126;99,93;-0,5;-0,5;;-0,013;-0,013;,,,,,
2014;1;5;5;1;;;HERRAMIENTAS Y ACCESORIOS DIVERSOS;0,39331;101,04;0,5;0,5;;0,002;0,002;,,,,,
2014;1;9;5;1;;;PAQUETES TURÍSTICOS;0,78711;105,72;-0,3;-0,3;;-0,003;-0,003;,,,,,
2014;1;10;5;1;;;ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL;0,10569;101,21;1,8;1,8;;0,002;0,002;,,,,,
2014;1;12;5;1;;;OTROS SERVICIOS;0,85856;104,34;1,1;1,1;;0,010;0,010;,,,,,
2014;1;5;6;1;;;BIENES NO DURABLES PARA EL HOGAR;1,20749;100,56;-1,1;-1,1;;-0,013;-0,013;,,,,,
2014;1;1;1;2;;;CARNES;4,38211;101,90;-0,1;-0,1;;-0,005;-0,005;,,,,,
2014;1;2;1;2;;;VINOS;0,69043;99,99;0,7;0,7;;0,005;0,005;,,,,,
2014;1;3;1;2;;;VESTUARIO;3,00257;95,5;-2,8;-2,8;;-0,080;-0,080;,,,,,
