id_tienda,name
1647,Volans
821,V Store
63,VTR
171,Walmart Argentina
169,Walmart Brazil
122,Walmart México
1778,Waren House
495,WebRedes
14,Wei
239,Weplay
45,Winpy
1613,Wisdom TS
85,WOM
428,woOw!
493,Xenex
248,XtremeTecPc
3329,Yokan Store
1151,YouTech
221,Yoytec
3230,Zacto
252,Zegucom
91,Zmart
3099,Zona Portátil
2077,Zonatec
