id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.freezing_compartment_temperature,specs.freezer_capacity,specs.has_ice_dispenser,specs.door_style_id,specs.door_style_unicode,specs.door_style_name,specs.brand_id,specs.brand_unicode,specs.brand_name,specs.energy_efficiency_id,specs.energy_efficiency_unicode,specs.energy_efficiency_name,specs.energy_efficiency_value,specs.frosting_id,specs.frosting_unicode,specs.frosting_name,specs.r_format_id,specs.r_format_unicode,specs.r_format_name,specs.refrigerator_capacity,specs.name,specs.picture,specs.consumption,specs.weight,specs.height,specs.width,specs.energy_efficiency_star_count_id,specs.energy_efficiency_star_count_unicode,specs.energy_efficiency_star_count_value,specs.energy_efficiency_star_count_name,specs.bundle_id,specs.bundle_unicode,specs.bundle_name,specs.has_water_dispenser,specs.depth,specs.pretty_refrigerator_capacity,specs.pretty_freezer_capacity,specs.pretty_dimensions,specs.pretty_weight,specs.total_capacity,specs.pretty_total_capacity,specs.lg_cl_total_capacity_segment,specs.pretty_consumption,specs.sorting_consumption,catIPC
122992,Libero LRB-270SDIW,1094,Libero,1477824,2021-10-18T19:50:09.282577+00:00,2021-10-18T19:51:31.700899+00:00,Libero LRB-270SDIW LRB-270SDIW 1760 187.0 -18.0 75.0 55 False Frío Directo Frío Directo 19.47 Normal Normal 540 A+ 1 A+ 550 3 3 3 Sin bundle Sin bundle True Libero Libero Refrigerador bottom freezer Refrigerador bottom freezer,https://publicapi.solotodo.com/products/122992/,https://publicapi.solotodo.com/categories/15/,libero-lrb-270sdiw,https://media.solotodo.com/media/products/1477824_picture_1634586690.jpg,1477824,Libero LRB-270SDIW,-18.0,75.0,False,706150,Normal,Normal,325391,Libero,Libero,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325531,Refrigerador bottom freezer,Refrigerador bottom freezer,187.0,LRB-270SDIW,products/1477824_picture_1634586690.jpg,19.47,55,1760,550,640532,3,3,3,836764.0,Sin bundle,Sin bundle,True,540,187.0 L,75.0 L,550 x 1760 x 540 mm,55 kg,262.0,262.0 L.,299 L. o menos,19.47 kWh/mes,19.47,refrigeradores
123223,Hisense RS-20DC,135,Hisense,1479278,2021-10-21T12:11:04.768481+00:00,2021-10-21T12:14:18.148480+00:00,Hisense RS-20DC RS-20DC 1434 0.0 -18.0 153.0 42 False Frío Directo Frío Directo 17.75 Normal Normal 542 A+ 1 A+ 550 3 3 3 Sin bundle Sin bundle False Hisense Hisense Freezer Freezer,https://publicapi.solotodo.com/products/123223/,https://publicapi.solotodo.com/categories/15/,hisense-rs-20dc,https://media.solotodo.com/media/products/1479278_picture_1634818456.jfif,1479278,Hisense RS-20DC,-18.0,153.0,False,706150,Normal,Normal,325366,Hisense,Hisense,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325512,Freezer,Freezer,0.0,RS-20DC,products/1479278_picture_1634818456.jfif,17.75,42,1434,550,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,542,,153.0 L,550 x 1434 x 542 mm,42 kg,153.0,153.0 L.,299 L. o menos,17.75 kWh/mes,17.75,refrigeradores
76353,Gelator Vertical 120,1469,Gelator,1101585,2020-03-06T16:51:18.153314+00:00,2020-10-17T12:28:08.407037+00:00,Gelator Vertical 120 0.0 0.0 False Normal Normal Gelator Gelator Desconocido Desconocido 20 Frío Directo Frío Directo Conservador Conservador 120.0 Vertical 120 0.0 33 820 470 Desconocido 0 Desconocido Sin bundle Sin bundle False 450,https://publicapi.solotodo.com/products/76353/,https://publicapi.solotodo.com/categories/15/,gelator-vertical-120,https://media.solotodo.com/media/products/1101585_picture_1583513589.jpg,1101585,Gelator Vertical 120,0.0,0.0,False,706150,Normal,Normal,1101598,Gelator,Gelator,694690,Desconocido,Desconocido,20,325547,Frío Directo,Frío Directo,325503,Conservador,Conservador,120.0,Vertical 120,products/1101585_picture_1583513589.jpg,0.0,33,820,470,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,450,120.0 L,,470 x 820 x 450 mm,33 kg,120.0,120.0 L.,299 L. o menos,,100000000000000.0,refrigeradores
34912,Libero LRB-270IW,1094,Libero,610095,2017-04-18T00:00:00+00:00,2020-10-17T11:39:27.968719+00:00,Libero LRB-270IW -18.0 64.0 False Normal Normal Libero Libero A+ A+ 1 Frío Directo Frío Directo Refrigerador bottom freezer Refrigerador bottom freezer 180.0 LRB-270IW 20.4 62 1806 545 3 3 3 Sin bundle Sin bundle True 545,https://publicapi.solotodo.com/products/34912/,https://publicapi.solotodo.com/categories/15/,libero-lrb-270iw,https://media.solotodo.com/media/products/610095_picture_1492495454.PNG,610095,Libero LRB-270IW,-18.0,64.0,False,706150,Normal,Normal,325391,Libero,Libero,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325531,Refrigerador bottom freezer,Refrigerador bottom freezer,180.0,LRB-270IW,products/610095_picture_1492495454.PNG,20.4,62,1806,545,640532,3,3,3,836764.0,Sin bundle,Sin bundle,True,545,180.0 L,64.0 L,545 x 1806 x 545 mm,62 kg,244.0,244.0 L.,299 L. o menos,20.4 kWh/mes,20.4,refrigeradores
56224,Mademsa Nordik 2200,864,Mademsa,874035,2019-01-26T01:56:53.582576+00:00,2020-10-17T12:03:33.650994+00:00,Mademsa Nordik 2200 -18.0 41.0 False Normal Normal Mademsa Mademsa A+ A+ 1 Frío Directo Frío Directo Refrigerador top freezer Refrigerador top freezer 171.0 Nordik 2200 17.87 38 1430 550 3 3 3 Sin bundle Sin bundle False 580,https://publicapi.solotodo.com/products/56224/,https://publicapi.solotodo.com/categories/15/,mademsa-nordik-2200,https://media.solotodo.com/media/products/874035_picture_1548467900.jpg,874035,Mademsa Nordik 2200,-18.0,41.0,False,706150,Normal,Normal,325402,Mademsa,Mademsa,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325543,Refrigerador top freezer,Refrigerador top freezer,171.0,Nordik 2200,products/874035_picture_1548467900.jpg,17.87,38,1430,550,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,580,171.0 L,41.0 L,550 x 1430 x 580 mm,38 kg,212.0,212.0 L.,299 L. o menos,17.87 kWh/mes,17.87,refrigeradores
66947,Mabe FDHM200BY1,826,Mabe,995586,2019-09-29T06:45:23.734366+00:00,2020-10-17T12:15:59.097945+00:00,Mabe FDHM200BY1 -18.0 196.0 False Normal Normal Mabe Mabe A+ A+ 1 Frío Directo Frío Directo Freezer Freezer 0.0 FDHM200BY1 17.42 35000 850 945 3 3 3 Sin bundle Sin bundle False 523,https://publicapi.solotodo.com/products/66947/,https://publicapi.solotodo.com/categories/15/,mabe-fdhm200by1,https://media.solotodo.com/media/products/528432_picture_1473943137.jpg,995586,Mabe FDHM200BY1,-18.0,196.0,False,706150,Normal,Normal,325394,Mabe,Mabe,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325512,Freezer,Freezer,0.0,FDHM200BY1,products/528432_picture_1473943137.jpg,17.42,35000,850,945,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,523,,196.0 L,945 x 850 x 523 mm,35000 kg,196.0,196.0 L.,299 L. o menos,17.42 kWh/mes,17.42,refrigeradores
45135,Nex RFC268SL,659,Nex,746972,2018-05-15T13:58:20.421141+00:00,2020-10-17T11:52:33.685585+00:00,Nex RFC268SL -18.0 53.0 False Normal Normal Nex Nex A A 2 No Frost No Frost Refrigerador top freezer Refrigerador top freezer 198.0 RFC268SL 24.3 0 1670 550 3 3 3 Sin bundle Sin bundle False 600,https://publicapi.solotodo.com/products/45135/,https://publicapi.solotodo.com/categories/15/,nex-rfc268sl,https://media.solotodo.com/media/products/746972_picture_1526392790.jpg,746972,Nex RFC268SL,-18.0,53.0,False,706150,Normal,Normal,325429,Nex,Nex,325579,A,A,2,325551,No Frost,No Frost,325543,Refrigerador top freezer,Refrigerador top freezer,198.0,RFC268SL,products/746972_picture_1526392790.jpg,24.3,0,1670,550,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,600,198.0 L,53.0 L,550 x 1670 x 600 mm,,251.0,251.0 L.,299 L. o menos,24.3 kWh/mes,24.3,refrigeradores
52721,Midea MRFS-2700G333FW8,936,Midea,834897,2018-11-13T10:51:02.693949+00:00,2020-10-17T12:00:10.525820+00:00,Midea MRFS-2700G333FW8 -18.0 53.0 False Normal Normal Midea Midea A+ A+ 1 No Frost No Frost Refrigerador top freezer Refrigerador top freezer 199.0 MRFS-2700G333FW8 17.67 55 1657 545 3 3 3 Sin bundle Sin bundle False 623,https://publicapi.solotodo.com/products/52721/,https://publicapi.solotodo.com/categories/15/,midea-mrfs-2700g333fw8,https://media.solotodo.com/media/products/576005_picture_1486484085.PNG,834897,Midea MRFS-2700G333FW8,-18.0,53.0,False,706150,Normal,Normal,325417,Midea,Midea,325570,A+,A+,1,325551,No Frost,No Frost,325543,Refrigerador top freezer,Refrigerador top freezer,199.0,MRFS-2700G333FW8,products/576005_picture_1486484085.PNG,17.67,55,1657,545,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,623,199.0 L,53.0 L,545 x 1657 x 623 mm,55 kg,252.0,252.0 L.,299 L. o menos,17.67 kWh/mes,17.67,refrigeradores
109601,Oster OS-BNF2700HB,274,Oster,1388470,2021-05-10T21:54:50.813888+00:00,2021-05-10T21:55:22.313337+00:00,Oster OS-BNF2700HB 600 53.0 False Oster Oster Refrigerador top freezer Refrigerador top freezer No Frost No Frost A+ A+ 1 3 3 3 144.0 50 Sin bundle Sin bundle False 550 -18.0 Normal Normal OS-BNF2700HB 19.7 1430,https://publicapi.solotodo.com/products/109601/,https://publicapi.solotodo.com/categories/15/,oster-os-bnf2700hb,https://media.solotodo.com/media/products/1388470_picture_1620683719.jpg,1388470,Oster OS-BNF2700HB,-18.0,53.0,False,706150,Normal,Normal,712368,Oster,Oster,325570,A+,A+,1,325551,No Frost,No Frost,325543,Refrigerador top freezer,Refrigerador top freezer,144.0,OS-BNF2700HB,products/1388470_picture_1620683719.jpg,19.7,50,1430,600,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,550,144.0 L,53.0 L,600 x 1430 x 550 mm,50 kg,197.0,197.0 L.,299 L. o menos,19.7 kWh/mes,19.7,refrigeradores
11931,Winia FF-211VSM,7213,Winia,327828,2013-10-15T00:00:00+00:00,2021-08-05T14:18:41.777123+00:00,Winia FF-211VSM 550 165.0 False Winia Winia Freezer Freezer Frío Directo Frío Directo A++ A++ 0 Desconocido Desconocido 0 0.0 53 Sin bundle Sin bundle False 570 0.0 Normal Normal FF-211VSM 8.51 1440,https://publicapi.solotodo.com/products/11931/,https://publicapi.solotodo.com/categories/15/,winia-ff-211vsm,https://media.solotodo.com/media/products/4185251_1.jpg,327828,Winia FF-211VSM,0.0,165.0,False,706150,Normal,Normal,325304,Winia,Winia,325558,A++,A++,0,325547,Frío Directo,Frío Directo,325512,Freezer,Freezer,0.0,FF-211VSM,products/4185251_1.jpg,8.51,53,1440,550,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,570,,165.0 L,550 x 1440 x 570 mm,53 kg,165.0,165.0 L.,299 L. o menos,8.51 kWh/mes,8.51,refrigeradores
