id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.w_type_id,specs.w_type_unicode,specs.w_type_name,specs.name,specs.picture,specs.height,specs.width,specs.depth,specs.drum_material_id,specs.drum_material_unicode,specs.drum_material_name,specs.power_id,specs.power_unicode,specs.power_value,specs.capacity_id,specs.capacity_unicode,specs.capacity_value,specs.w_format_id,specs.w_format_unicode,specs.w_format_name,specs.washing_energy_efficiency_id,specs.washing_energy_efficiency_unicode,specs.washing_energy_efficiency_value,specs.washing_energy_efficiency_name,specs.energy_efficiency_id,specs.energy_efficiency_unicode,specs.energy_efficiency_name,specs.energy_efficiency_value,specs.weight,specs.brand_id,specs.brand_unicode,specs.brand_name,specs.color_id,specs.color_unicode,specs.color_name,specs.control_type_id,specs.control_type_unicode,specs.control_type_name,specs.drying_energy_efficiency_id,specs.drying_energy_efficiency_unicode,specs.drying_energy_efficiency_name,specs.drying_energy_efficiency_value,specs.drying_capacity_id,specs.drying_capacity_unicode,specs.drying_capacity_value,specs.pretty_dimensions,specs.pretty_weight,specs.lg_cl_capacity,specs.pretty_lg_cl_capacity,specs.lg_cl_capacity_segment,catIPC
82341,Samsung WW10J6410CW1ZS,996,Samsung,1185063,2020-06-19T14:43:10.440178+00:00,2020-10-17T12:37:07.631094+00:00,Samsung WW10J6410CW1ZS Lavadora automática Lavadora automática WW10J6410CW1ZS 850 600 600 Acero Inoxidable Acero Inoxidable Desconocido 0 10.5 kg. 10500 Frontal Frontal A 4 A B B 5 67000 Samsung Samsung Blanco Blanco Digital Digital G G 10 N/A 0,https://publicapi.solotodo.com/products/82341/,https://publicapi.solotodo.com/categories/19/,samsung-ww10j6410cw1zs,https://media.solotodo.com/media/products/1185063_picture_1592577875.webp,1185063,Samsung WW10J6410CW1ZS,361990,Lavadora automática,Lavadora automática,WW10J6410CW1ZS,products/1185063_picture_1592577875.webp,850,600,600,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362601,10.5 kg.,10500,362689,Frontal,Frontal,592953,A,4,A,594018,B,B,5,67000,361928,Samsung,Samsung,362033,Blanco,Blanco,362066,Digital,Digital,911677,G,G,10,850170,,0,600 x 850 x 600 mm,67.0 kg.,10500,10 kg.,10 a 15.9 kg.,lavadoras_secadoras
83861,Samsung WA17T6260BY/ZS,996,Samsung,1202148,2020-07-22T15:29:58.760034+00:00,2020-10-17T12:39:46.062277+00:00,Samsung WA17T6260BY/ZS Lavadora automática Lavadora automática WA17T6260BY/ZS 1080 630 690 Acero Inoxidable Acero Inoxidable Desconocido 0 17 kg. 17000 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 43 Samsung Samsung Gris Gris Digital Digital No Aplica No Aplica 20 N/A 0,https://publicapi.solotodo.com/products/83861/,https://publicapi.solotodo.com/categories/19/,samsung-wa17t6260byzs,https://media.solotodo.com/media/products/1202148_picture_1595431821.webp,1202148,Samsung WA17T6260BY/ZS,361990,Lavadora automática,Lavadora automática,WA17T6260BY/ZS,products/1202148_picture_1595431821.webp,1080,630,690,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362654,17 kg.,17000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,43,361928,Samsung,Samsung,362041,Gris,Gris,362066,Digital,Digital,601444,No Aplica,No Aplica,20,850170,,0,630 x 1080 x 690 mm,0.043000000000000003 kg.,17000,17 kg.,16 a 19.9 kg.,lavadoras_secadoras
61249,Thomas TH-D8KV,694,Thomas,929798,2019-05-22T17:46:16.218537+00:00,2020-10-17T12:09:15.560835+00:00,Thomas TH-D8KV Secadora Secadora TH-D8KV 850 600 0 Acero Acero 2300 W. 2300 N/A 0 Frontal Frontal No Aplica 20 No Aplica G G 10 30000 Thomas Thomas Blanco Blanco Análogo Análogo Desconocido Desconocido 11 8 kg. 8000,https://publicapi.solotodo.com/products/61249/,https://publicapi.solotodo.com/categories/19/,thomas-th-d8kv,https://media.solotodo.com/media/products/929798_picture_1558547175.jpg,929798,Thomas TH-D8KV,362016,Secadora,Secadora,TH-D8KV,products/929798_picture_1558547175.jpg,850,600,0,929796,Acero,Acero,362426,2300 W.,2300,850170,,0,362689,Frontal,Frontal,601441,No Aplica,20,No Aplica,592950,G,G,10,30000,911411,Thomas,Thomas,362033,Blanco,Blanco,362063,Análogo,Análogo,592974,Desconocido,Desconocido,11,362557,8 kg.,8000,,30.0 kg.,8000,8 kg.,9.9 kg. o menos,lavadoras_secadoras
83858,Samsung WA15T5260BW/ZS,996,Samsung,1202127,2020-07-22T15:26:11.599893+00:00,2021-02-24T11:56:44.367443+00:00,Samsung WA15T5260BW/ZS Desconocido 0 WA15T5260BW/ZS 1105 610 675 Acero Inoxidable Acero Inoxidable 15 kg. 15000 Superior Superior 43 Samsung Samsung Lavadora automática Lavadora automática Blanco Blanco Digital Digital D 7 D N/A 0 A A 4 B 5 B,https://publicapi.solotodo.com/products/83858/,https://publicapi.solotodo.com/categories/19/,samsung-wa15t5260bwzs,https://media.solotodo.com/media/products/1202127_picture_1595431570.webp,1202127,Samsung WA15T5260BW/ZS,361990,Lavadora automática,Lavadora automática,WA15T5260BW/ZS,products/1202127_picture_1595431570.webp,1105,610,675,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362642,15 kg.,15000,362698,Superior,Superior,592953,A,4,A,594018,B,B,5,43,361928,Samsung,Samsung,362033,Blanco,Blanco,362066,Digital,Digital,592971,D,D,7,850170,,0,610 x 1105 x 675 mm,0.043000000000000003 kg.,15000,15 kg.,10 a 15.9 kg.,lavadoras_secadoras
39798,LG WT13WSB,848,LG,682329,2017-10-03T00:00:00+00:00,2020-10-17T11:45:37.581052+00:00,LG WT13WSB Lavadora automática Lavadora automática WT13WSB 960 590 606 Acero Inoxidable Acero Inoxidable Desconocido 0 13 kg. 13000 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 42000 LG LG Blanco Blanco Digital Digital Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/39798/,https://publicapi.solotodo.com/categories/19/,lg-wt13wsb,https://media.solotodo.com/media/products/WT13WSB_01_emm365t.jpg,682329,LG WT13WSB,361990,Lavadora automática,Lavadora automática,WT13WSB,products/WT13WSB_01_emm365t.jpg,960,590,606,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362628,13 kg.,13000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,42000,361871,LG,LG,362033,Blanco,Blanco,362066,Digital,Digital,592974,Desconocido,Desconocido,11,850170,,0,590 x 960 x 606 mm,42.0 kg.,13000,13 kg.,10 a 15.9 kg.,lavadoras_secadoras
43494,LG WT13WSBP,848,LG,729446,2018-03-28T12:25:25.448168+00:00,2020-10-17T11:50:29.792527+00:00,LG WT13WSBP Lavadora automática Lavadora automática WT13WSBP 960 590 606 Acero Inoxidable Acero Inoxidable Desconocido 0 13 kg. 13000 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 40000 LG LG Blanco Blanco Digital Digital Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/43494/,https://publicapi.solotodo.com/categories/19/,lg-wt13wsbp,https://media.solotodo.com/media/products/729446_picture_1522239924.jpg,729446,LG WT13WSBP,361990,Lavadora automática,Lavadora automática,WT13WSBP,products/729446_picture_1522239924.jpg,960,590,606,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362628,13 kg.,13000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,40000,361871,LG,LG,362033,Blanco,Blanco,362066,Digital,Digital,592974,Desconocido,Desconocido,11,850170,,0,590 x 960 x 606 mm,40.0 kg.,13000,13 kg.,10 a 15.9 kg.,lavadoras_secadoras
56277,Mademsa Efficace 19.5SZG,864,Mademsa,874550,2019-01-26T20:40:17.967334+00:00,2021-04-26T20:52:05.538206+00:00,Mademsa Efficace 19.5SZG Desconocido 0 Efficace 19.5SZG 1050 610 665 Acero Inoxidable Acero Inoxidable 19.5 kg. 19500 Superior Superior 41000 Mademsa Mademsa Lavadora automática Lavadora automática Gris Gris Digital Digital E 8 E N/A 0 C C 6 B 5 B,https://publicapi.solotodo.com/products/56277/,https://publicapi.solotodo.com/categories/19/,mademsa-efficace-195szg,https://media.solotodo.com/media/products/874070_picture_1548468097.jpg,874550,Mademsa Efficace 19.5SZG,361990,Lavadora automática,Lavadora automática,Efficace 19.5SZG,products/874070_picture_1548468097.jpg,1050,610,665,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,874557,19.5 kg.,19500,362698,Superior,Superior,592956,C,6,C,594018,B,B,5,41000,361890,Mademsa,Mademsa,362041,Gris,Gris,362066,Digital,Digital,593108,E,E,8,850170,,0,610 x 1050 x 665 mm,41.0 kg.,19500,20 kg.,16 a 19.9 kg.,lavadoras_secadoras
63421,LG WM9WE6,848,LG,955339,2019-07-05T17:52:11.867351+00:00,2020-10-17T12:11:44.539063+00:00,LG WM9WE6 Lavadora automática Lavadora automática WM9WE6 850 600 560 Acero Inoxidable Acero Inoxidable Desconocido 0 9 kg. 9000 Frontal Frontal Desconocido 19 Desconocido Desconocido Desconocido 20 60000 LG LG Blanco Blanco Digital Digital Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/63421/,https://publicapi.solotodo.com/categories/19/,lg-wm9we6,https://media.solotodo.com/media/products/955339_picture_1562349175.jpg,955339,LG WM9WE6,361990,Lavadora automática,Lavadora automática,WM9WE6,products/955339_picture_1562349175.jpg,850,600,560,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362568,9 kg.,9000,362689,Frontal,Frontal,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,60000,361871,LG,LG,362033,Blanco,Blanco,362066,Digital,Digital,592974,Desconocido,Desconocido,11,850170,,0,600 x 850 x 560 mm,60.0 kg.,9000,9 kg.,9.9 kg. o menos,lavadoras_secadoras
37524,Winia DWF-RP165GK,7213,Winia,650344,2017-07-05T00:00:00+00:00,2021-08-05T14:18:08.264013+00:00,Winia DWF-RP165GK Desconocido 0 DWF-RP165GK 107 63 67 Acero Inoxidable Acero Inoxidable 16 kg. 16000 Superior Superior 45500 Winia Winia Lavadora automática Lavadora automática Gris Gris Digital Digital No Aplica 20 No Aplica N/A 0 Desconocido Desconocido 19 Desconocido 20 Desconocido,https://publicapi.solotodo.com/products/37524/,https://publicapi.solotodo.com/categories/19/,winia-dwf-rp165gk,https://media.solotodo.com/media/products/650344_picture_1499265535.jpg,650344,Winia DWF-RP165GK,361990,Lavadora automática,Lavadora automática,DWF-RP165GK,products/650344_picture_1499265535.jpg,107,63,67,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362648,16 kg.,16000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,45500,361801,Winia,Winia,362041,Gris,Gris,362066,Digital,Digital,601444,No Aplica,No Aplica,20,850170,,0,63 x 107 x 67 mm,45.5 kg.,16000,16 kg.,16 a 19.9 kg.,lavadoras_secadoras
23605,Sindelen LC-4550BL,717,Sindelen,379238,2016-01-31T00:00:00+00:00,2020-10-17T11:25:49.241107+00:00,Sindelen LC-4550BL Lavadora semiautomática Lavadora semiautomática LC-4550BL 0 0 0 Plástico Plástico 400 W. 400 4 kg. 4000 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 0 Sindelen Sindelen Blanco Blanco Análogo Análogo Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/23605/,https://publicapi.solotodo.com/categories/19/,sindelen-lc-4550bl,https://media.solotodo.com/media/products/LC-4550BL.jpg,379238,Sindelen LC-4550BL,361998,Lavadora semiautomática,Lavadora semiautomática,LC-4550BL,products/LC-4550BL.jpg,0,0,0,362109,Plástico,Plástico,362206,400 W.,400,362472,4 kg.,4000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,0,361933,Sindelen,Sindelen,362033,Blanco,Blanco,362063,Análogo,Análogo,592974,Desconocido,Desconocido,11,850170,,0,,Desconocido,4000,4 kg.,9.9 kg. o menos,lavadoras_secadoras
