id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.energy_efficiency_cl_id,specs.energy_efficiency_cl_unicode,specs.energy_efficiency_cl_name,specs.energy_efficiency_cl_value,specs.port_id,specs.port_unicode,specs.port_port_id,specs.port_port_unicode,specs.port_port_name,specs.color_support_id,specs.color_support_unicode,specs.color_support_name,specs.picture,specs.is_duplex,specs.bw_ppm,specs.color_ppm,specs.technology_id,specs.technology_unicode,specs.technology_name,specs.line_id,specs.line_unicode,specs.line_name,specs.line_brand_id,specs.line_brand_unicode,specs.line_brand_brand_id,specs.line_brand_brand_unicode,specs.line_brand_brand_name,specs.p_type_id,specs.p_type_unicode,specs.p_type_name,specs.standby_monthly_consumption_cl,specs.name,specs.brand_unicode,specs.pretty_networking,specs.model_name,specs.additional_functions_id,specs.additional_functions_unicode,specs.additional_functions_name,specs.networking_id,specs.networking_unicode,specs.networking_name,catIPC
12274,Samsung SL-M4020ND/XBH,996,Samsung,346381,2013-10-18T00:00:00+00:00,2020-10-17T11:10:28.054066+00:00,Samsung SL-M4020ND/XBH Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro True 40.0 0.0 Láser Láser Samsung   Samsung Samsung Samsung Estándar Estándar 0.0 SL-M4020ND/XBH,https://publicapi.solotodo.com/products/12274/,https://publicapi.solotodo.com/categories/16/,samsung-sl-m4020ndxbh,https://media.solotodo.com/media/products/SL-M4020ND_002_Left-Angle_Ice-Gray.jpg,346381,Samsung SL-M4020ND/XBH,677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/SL-M4020ND_002_Left-Angle_Ice-Gray.jpg,True,40.0,0.0,325961,Láser,Láser,326532,Samsung, ,326169,Samsung,104822,Samsung,Samsung,325923,Estándar,Estándar,0.0,SL-M4020ND/XBH,Samsung,No posee,SL-M4020ND/XBH,,,,,,,impresoras
70891,HP Laser MFP 135W (4ZB83A),832,HP,1039012,2019-12-31T11:23:04.068135+00:00,2020-10-17T12:20:31.140835+00:00,HP Laser MFP 135W (4ZB83A) B B 5 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 20.0 0.0 Láser Láser HP Laser Laser HP HP HP Multifuncional Multifuncional 1.542 MFP 135W (4ZB83A) Copiadora Copiadora Escáner Escáner Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/70891/,https://publicapi.solotodo.com/categories/16/,hp-laser-mfp-135w-4zb83a,https://media.solotodo.com/media/products/1039012_picture_1577791598.jpg,1039012,HP Laser MFP 135W (4ZB83A),676979,B,B,5,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1039012_picture_1577791598.jpg,False,20.0,0.0,325961,Láser,Láser,1018428,HP Laser,Laser,326133,HP,104463,HP,HP,325931,Multifuncional,Multifuncional,1.542,MFP 135W (4ZB83A),HP,Wi-Fi,Laser MFP 135W (4ZB83A),"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",[326055],['Wi-Fi'],['Wi-Fi'],impresoras
31482,HP LaserJet Pro M203dw (G3Q47A),832,HP,569771,2017-01-28T00:00:00+00:00,2020-10-17T11:36:14.967031+00:00,HP LaserJet Pro M203dw (G3Q47A) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro True 28.0 0.0 Láser Láser HP LaserJet LaserJet HP HP HP Estándar Estándar 0.0 Pro M203dw (G3Q47A) Ethernet Ethernet Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/31482/,https://publicapi.solotodo.com/categories/16/,hp-laserjet-pro-m203dw-g3q47a,https://media.solotodo.com/media/products/569771_picture_1485600951.jpg,569771,HP LaserJet Pro M203dw (G3Q47A),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/569771_picture_1485600951.jpg,True,28.0,0.0,325961,Láser,Láser,326379,HP LaserJet,LaserJet,326133,HP,104463,HP,HP,325923,Estándar,Estándar,0.0,Pro M203dw (G3Q47A),HP,Ethernet | Wi-Fi,LaserJet Pro M203dw (G3Q47A),,,,"[326016, 326055]","['Ethernet', 'Wi-Fi']","['Ethernet', 'Wi-Fi']",impresoras
68993,Canon PIXMA GM2010 (3110C005),667,Canon,1017821,2019-11-21T13:33:00.208603+00:00,2020-10-17T12:18:24.707081+00:00,Canon PIXMA GM2010 (3110C005) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 13.0 0.0 Inyección de tinta Inyección de tinta Canon PIXMA PIXMA Canon Canon Canon Estándar Estándar 0.0 GM2010 (3110C005) Ethernet Ethernet Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/68993/,https://publicapi.solotodo.com/categories/16/,canon-pixma-gm2010-3110c005,https://media.solotodo.com/media/products/1017821_picture_1574343267.jpg,1017821,Canon PIXMA GM2010 (3110C005),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1017821_picture_1574343267.jpg,False,13.0,0.0,325952,Inyección de tinta,Inyección de tinta,326269,Canon PIXMA,PIXMA,326105,Canon,104215,Canon,Canon,325923,Estándar,Estándar,0.0,GM2010 (3110C005),Canon,Ethernet | Wi-Fi,PIXMA GM2010 (3110C005),,,,"[326016, 326055]","['Ethernet', 'Wi-Fi']","['Ethernet', 'Wi-Fi']",impresoras
83787,Canon PIXMA GM4010 (3111C005),667,Canon,1201434,2020-07-21T12:04:08.154792+00:00,2020-10-17T12:39:40.906855+00:00,Canon PIXMA GM4010 (3111C005) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 0.0 0.0 Inyección de tinta Inyección de tinta Canon PIXMA PIXMA Canon Canon Canon Multifuncional Multifuncional 0.0 GM4010 (3111C005) Ethernet Ethernet Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/83787/,https://publicapi.solotodo.com/categories/16/,canon-pixma-gm4010-3111c005,https://media.solotodo.com/media/products/1201434_picture_1595333594.jpg,1201434,Canon PIXMA GM4010 (3111C005),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1201434_picture_1595333594.jpg,False,0.0,0.0,325952,Inyección de tinta,Inyección de tinta,326269,Canon PIXMA,PIXMA,326105,Canon,104215,Canon,Canon,325931,Multifuncional,Multifuncional,0.0,GM4010 (3111C005),Canon,Ethernet | Wi-Fi,PIXMA GM4010 (3111C005),,,,"[326016, 326055]","['Ethernet', 'Wi-Fi']","['Ethernet', 'Wi-Fi']",impresoras
98869,Canon PIXMA G2160,667,Canon,1325900,2021-02-15T17:32:34.519902+00:00,2021-02-15T17:35:53.889723+00:00,Canon PIXMA G2160 0.0 Canon PIXMA PIXMA Canon Canon Canon Inyección de tinta Inyección de tinta Multifuncional Multifuncional 6.0 10.8 False G2160 Desconocido 12 Desconocido Copiadora Copiadora Escáner Escáner USB 2.0 USB 2.0 USB 2.0 Color Color,https://publicapi.solotodo.com/products/98869/,https://publicapi.solotodo.com/categories/16/,canon-pixma-g2160,https://media.solotodo.com/media/products/1325900_picture_1613410541.jpg,1325900,Canon PIXMA G2160,677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1325900_picture_1613410541.jpg,False,10.8,6.0,325952,Inyección de tinta,Inyección de tinta,326269,Canon PIXMA,PIXMA,326105,Canon,104215,Canon,Canon,325931,Multifuncional,Multifuncional,0.0,G2160,Canon,No posee,PIXMA G2160,"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",,,,impresoras
94582,Brother DCP-T220,764,Brother,1298679,2021-01-09T19:07:40.676056+00:00,2021-03-03T12:43:54.658037+00:00,Brother DCP-T220 DCP-T220 Color Color USB 2.0 USB 2.0 USB 2.0 Copiadora Copiadora Escáner Escáner A A 4 0.341 Brother   Brother Brother Brother Inyección de tinta Inyección de tinta Multifuncional Multifuncional 9.0 16.0 False,https://publicapi.solotodo.com/products/94582/,https://publicapi.solotodo.com/categories/16/,brother-dcp-t220,https://media.solotodo.com/media/products/1298679_picture_1610219307.jpg,1298679,Brother DCP-T220,676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1298679_picture_1610219307.jpg,False,16.0,9.0,325952,Inyección de tinta,Inyección de tinta,326207,Brother, ,326099,Brother,104209,Brother,Brother,325931,Multifuncional,Multifuncional,0.341,DCP-T220,Brother,No posee,DCP-T220,"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",,,,impresoras
43577,Canon SELPHY CP1300 (Negro) + KP-36,667,Canon,730311,2018-03-30T07:00:29.151181+00:00,2020-10-17T11:50:37.903336+00:00,Canon SELPHY CP1300 (Negro) + KP-36 Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Color Color False 0.0 0.0 Inyección de tinta Inyección de tinta Canon SELPHY SELPHY Canon Canon Canon Pocket Pocket 0.0 CP1300 (Negro) + KP-36 LAN (inalámbrica) LAN (inalámbrica) Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/43577/,https://publicapi.solotodo.com/categories/16/,canon-selphy-cp1300-negro-kp-36,https://media.solotodo.com/media/products/730311_picture_1522393475.jpg,730311,Canon SELPHY CP1300 (Negro) + KP-36,677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/730311_picture_1522393475.jpg,False,0.0,0.0,325952,Inyección de tinta,Inyección de tinta,326248,Canon SELPHY,SELPHY,326105,Canon,104215,Canon,Canon,325940,Pocket,Pocket,0.0,CP1300 (Negro) + KP-36,Canon,LAN (inalámbrica) | Wi-Fi,SELPHY CP1300 (Negro) + KP-36,,,,"[326032, 326055]","['LAN (inalámbrica)', 'Wi-Fi']","['LAN (inalámbrica)', 'Wi-Fi']",impresoras
53194,Epson EcoTank L3110 (C11CG87303),268,Epson,840188,2018-11-28T09:18:55.043468+00:00,2020-10-17T12:00:50.275164+00:00,Epson EcoTank L3110 (C11CG87303) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Color Color False 33.0 15.0 Inyección de tinta Inyección de tinta Epson EcoTank EcoTank Epson Epson Epson Multifuncional Multifuncional 0.0 L3110 (C11CG87303) Copiadora Copiadora Escáner Escáner,https://publicapi.solotodo.com/products/53194/,https://publicapi.solotodo.com/categories/16/,epson-ecotank-l3110-c11cg87303,https://media.solotodo.com/media/products/840188_picture_1543396862.jpg,840188,Epson EcoTank L3110 (C11CG87303),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/840188_picture_1543396862.jpg,False,33.0,15.0,325952,Inyección de tinta,Inyección de tinta,326334,Epson EcoTank,EcoTank,326116,Epson,104320,Epson,Epson,325931,Multifuncional,Multifuncional,0.0,L3110 (C11CG87303),Epson,No posee,EcoTank L3110 (C11CG87303),"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",,,,impresoras
18360,Brother HL-L2360DW,764,Brother,327774,2015-01-15T00:00:00+00:00,2020-10-17T11:18:25.622947+00:00,Brother HL-L2360DW A A 4 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro True 32.0 0.0 Láser Láser Brother   Brother Brother Brother Estándar Estándar 0.409 HL-L2360DW Ethernet Ethernet Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/18360/,https://publicapi.solotodo.com/categories/16/,brother-hl-l2360dw,https://media.solotodo.com/media/products/HL-L2360DW.jpg,327774,Brother HL-L2360DW,676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/HL-L2360DW.jpg,True,32.0,0.0,325961,Láser,Láser,326207,Brother, ,326099,Brother,104209,Brother,Brother,325923,Estándar,Estándar,0.409,HL-L2360DW,Brother,Ethernet | Wi-Fi,HL-L2360DW,,,,"[326016, 326055]","['Ethernet', 'Wi-Fi']","['Ethernet', 'Wi-Fi']",impresoras
