id,id_tienda,precio,precio_oferta,fecha
36822,234,5172000.0,5172000.0,2022-01-10
36822,234,5172000.0,5172000.0,2022-01-11
36822,234,5172000.0,5172000.0,2022-01-12
36822,234,5172000.0,5172000.0,2022-01-13
36822,234,5172000.0,5172000.0,2022-01-14
36822,234,5172000.0,5172000.0,2022-01-15
36822,234,5172000.0,5172000.0,2022-01-16
36822,234,5172000.0,5172000.0,2022-01-17
36822,234,5172000.0,5172000.0,2022-01-18
36822,234,5172000.0,5172000.0,2022-01-19
36822,234,5172000.0,5172000.0,2022-01-20
36822,234,5172000.0,5172000.0,2022-01-21
36822,195,499991.0,499991.0,2022-01-09
36822,195,499991.0,499991.0,2022-01-10
36822,195,499991.0,499991.0,2022-01-11
36822,195,499991.0,499991.0,2022-01-13
36822,195,499991.0,499991.0,2022-01-14
36822,195,499991.0,499991.0,2022-01-15
36822,195,499991.0,499991.0,2022-01-16
36822,195,574990.0,574990.0,2022-01-17
36822,195,574990.0,574990.0,2022-01-18
36822,195,574990.0,574990.0,2022-01-19
36822,195,574990.0,574990.0,2022-01-20
36822,195,574990.0,574990.0,2022-01-21
36822,557,1199.0,1199.0,2022-01-09
36822,557,1199.0,1199.0,2022-01-10
36822,557,1199.0,1199.0,2022-01-11
36822,557,1199.0,1199.0,2022-01-12
36822,557,1199.0,1199.0,2022-01-13
36822,557,1199.0,1199.0,2022-01-14
36822,557,1199.0,1199.0,2022-01-15
36822,557,1199.0,1199.0,2022-01-16
36822,557,1199.0,1199.0,2022-01-17
36822,557,1199.0,1199.0,2022-01-18
36822,557,1199.0,1199.0,2022-01-19
36822,557,1199.0,1199.0,2022-01-20
36822,557,1199.0,1199.0,2022-01-21
36822,233,5172000.0,5172000.0,2022-01-09
36822,233,5172000.0,5172000.0,2022-01-10
36822,233,5172000.0,5172000.0,2022-01-11
36822,233,726000.0,726000.0,2022-01-14
36822,233,726000.0,726000.0,2022-01-15
36822,233,726000.0,726000.0,2022-01-16
36822,233,726000.0,726000.0,2022-01-17
36822,233,726000.0,726000.0,2022-01-18
36822,233,726000.0,726000.0,2022-01-19
36822,233,726000.0,726000.0,2022-01-20
36822,233,726000.0,726000.0,2022-01-21
36822,9,459990.0,439990.0,2022-01-09
36822,9,459990.0,439990.0,2022-01-10
36822,9,459990.0,439990.0,2022-01-11
36822,9,459990.0,439990.0,2022-01-12
36822,3032,469991.0,469991.0,2022-01-09
36822,3032,469991.0,469991.0,2022-01-10
36822,3032,469991.0,469991.0,2022-01-11
36822,3032,469991.0,469991.0,2022-01-12
36822,3032,469991.0,469991.0,2022-01-13
36822,3032,469991.0,469991.0,2022-01-14
36822,3032,469991.0,469991.0,2022-01-15
36822,3032,469991.0,469991.0,2022-01-16
36822,3032,449990.0,449990.0,2022-01-17
36822,3032,494990.0,494990.0,2022-01-20
36822,3032,494990.0,494990.0,2022-01-21
16527,88,119990.0,119990.0,2022-01-09
16527,88,119990.0,119990.0,2022-01-10
16527,88,119990.0,119990.0,2022-01-11
16527,88,119990.0,119990.0,2022-01-12
16527,88,119990.0,119990.0,2022-01-13
16527,88,119990.0,95990.0,2022-01-14
16527,88,119990.0,95990.0,2022-01-15
16527,88,119990.0,95990.0,2022-01-16
16527,88,119990.0,95990.0,2022-01-17
16527,88,119990.0,95990.0,2022-01-18
16527,88,119990.0,95990.0,2022-01-19
16527,88,119990.0,95990.0,2022-01-20
16527,88,119990.0,119990.0,2022-01-21
16527,43,119990.0,119990.0,2022-01-09
16527,43,119990.0,119990.0,2022-01-10
16527,43,119990.0,119990.0,2022-01-11
16527,43,119990.0,119990.0,2022-01-12
16527,43,119990.0,119990.0,2022-01-13
16527,43,119990.0,119990.0,2022-01-14
16527,43,119990.0,119990.0,2022-01-15
16527,43,119990.0,119990.0,2022-01-16
16527,43,119990.0,119990.0,2022-01-17
16527,43,119990.0,119990.0,2022-01-18
16527,43,119990.0,119990.0,2022-01-19
16527,43,119990.0,119990.0,2022-01-20
16527,43,99990.0,99990.0,2022-01-21
16527,11,114990.0,109990.0,2022-01-09
16527,11,114990.0,109990.0,2022-01-10
16527,11,114990.0,109990.0,2022-01-11
16527,11,114990.0,109990.0,2022-01-12
16527,11,114990.0,109990.0,2022-01-13
16527,11,114990.0,109990.0,2022-01-14
16527,11,114990.0,114990.0,2022-01-15
16527,11,114990.0,114990.0,2022-01-16
16527,11,114990.0,114990.0,2022-01-17
16527,11,104990.0,104990.0,2022-01-18
16527,11,104990.0,104990.0,2022-01-19
16527,11,104990.0,104990.0,2022-01-20
16527,11,104990.0,104990.0,2022-01-21
16527,67,119990.0,109990.0,2022-01-09
16527,67,119990.0,109990.0,2022-01-10
16527,67,119990.0,109990.0,2022-01-11
16527,67,119990.0,109990.0,2022-01-12
16527,67,119990.0,109990.0,2022-01-13
16527,67,119990.0,119990.0,2022-01-14
16527,67,119990.0,119990.0,2022-01-15
16527,67,119990.0,119990.0,2022-01-16
16527,67,119990.0,119990.0,2022-01-17
16527,67,119990.0,119990.0,2022-01-18
16527,67,119990.0,119990.0,2022-01-19
16527,67,119990.0,119990.0,2022-01-20
16527,67,119990.0,119990.0,2022-01-21
16527,30,149990.0,149990.0,2022-01-21
16527,9,129990.0,129990.0,2022-01-09
16527,9,129990.0,129990.0,2022-01-10
16527,9,129990.0,129990.0,2022-01-11
16527,9,129990.0,129990.0,2022-01-12
16527,9,129990.0,129990.0,2022-01-13
16527,9,129990.0,129990.0,2022-01-14
16527,9,129990.0,129990.0,2022-01-15
16527,9,129990.0,129990.0,2022-01-16
16527,9,129990.0,129990.0,2022-01-18
16527,9,129990.0,129990.0,2022-01-19
16527,9,129990.0,129990.0,2022-01-20
16527,9,129990.0,129990.0,2022-01-21
16527,87,119990.0,119990.0,2022-01-09
16527,87,119990.0,119990.0,2022-01-10
16527,87,119990.0,119990.0,2022-01-11
16527,87,119990.0,119990.0,2022-01-12
16527,87,119990.0,119990.0,2022-01-13
16527,87,119990.0,119990.0,2022-01-14
16527,87,119990.0,119990.0,2022-01-15
16527,87,119990.0,119990.0,2022-01-16
16527,87,119990.0,119990.0,2022-01-17
16527,87,119990.0,119990.0,2022-01-18
16527,87,119990.0,119990.0,2022-01-19
16527,87,109990.0,109990.0,2022-01-20
16527,87,109990.0,109990.0,2022-01-21
16527,9,119990.0,109990.0,2022-01-09
16527,9,119990.0,109990.0,2022-01-10
16527,9,119990.0,109990.0,2022-01-11
16527,9,119990.0,109990.0,2022-01-12
