fecha,precio,precio_oferta,id_tienda,id
2021-12-09 04:54:51.544346+00:00,62990,62990,67,42616
2021-12-10 04:55:19.425231+00:00,62990,62990,67,42616
2021-12-11 05:04:02.583755+00:00,62990,62990,67,42616
2021-12-12 05:02:09.393841+00:00,62990,62990,67,42616
2021-12-13 04:50:04.548342+00:00,62990,62990,67,42616
2021-12-14 04:51:15.149366+00:00,62990,62990,67,42616
2021-12-15 04:50:33.605179+00:00,62990,62990,67,42616
2021-12-16 04:50:34.175244+00:00,62990,62990,67,42616
2021-12-17 04:55:15.375325+00:00,62990,62990,67,42616
2021-12-18 05:03:01.286227+00:00,62990,62990,67,42616
2021-12-19 04:50:04.266064+00:00,62990,62990,67,42616
2021-12-20 04:48:03.877243+00:00,62990,62990,67,42616
2021-12-21 05:22:56.368327+00:00,62990,62990,67,42616
2021-12-10 04:52:28.722454+00:00,62990,62990,9,42616
2021-12-11 04:54:20.929841+00:00,62990,62990,9,42616
2021-12-12 04:53:42.615503+00:00,62990,62990,9,42616
2021-12-13 04:53:54.302386+00:00,62990,62990,9,42616
2021-12-14 05:25:43.784615+00:00,62990,62990,9,42616
2021-12-15 04:57:08.881139+00:00,62990,62990,9,42616
2021-12-16 04:56:05.009607+00:00,62990,62990,9,42616
2021-12-17 04:54:20.917932+00:00,62990,62990,9,42616
2021-12-18 04:53:37.346774+00:00,62990,62990,9,42616
2021-12-19 04:54:12.598561+00:00,62990,62990,9,42616
2021-12-20 04:51:48.852329+00:00,62990,62990,9,42616
2021-12-21 04:53:51.907490+00:00,62990,62990,9,42616
2021-12-16 04:56:11.974551+00:00,74990,74990,9,24629
2021-12-17 04:54:30.273875+00:00,74990,74990,9,24629
2021-12-18 04:53:45.479022+00:00,74990,74990,9,24629
2021-12-19 04:54:17.938051+00:00,74990,74990,9,24629
2021-12-20 04:51:55.237144+00:00,74990,74990,9,24629
2021-12-21 04:54:01.790470+00:00,74990,74990,9,24629
2021-12-09 04:50:43.511680+00:00,69990,69990,30,24629
2021-12-10 04:55:01.061024+00:00,69990,69990,30,24629
2021-12-11 04:54:44.425153+00:00,69990,69990,30,24629
2021-12-12 04:55:20.542758+00:00,69990,69990,30,24629
2021-12-13 04:57:07.827183+00:00,69990,69990,30,24629
2021-12-14 04:54:36.618393+00:00,69990,69990,30,24629
2021-12-15 04:51:45.739320+00:00,69990,69990,30,24629
2021-12-16 04:55:36.496294+00:00,69990,69990,30,24629
2021-12-17 04:57:04.744215+00:00,69990,69990,30,24629
2021-12-18 04:56:58.030870+00:00,69990,69990,30,24629
2021-12-19 04:57:56.956650+00:00,69990,69990,30,24629
2021-12-20 04:50:14.975561+00:00,69990,69990,30,24629
2021-12-21 04:56:03.924584+00:00,69990,69990,30,24629
2021-12-09 05:49:57.988962+00:00,139990,129990,11,114100
2021-12-10 05:53:20.413627+00:00,139990,129990,11,114100
2021-12-11 05:51:45.223191+00:00,139990,129990,11,114100
2021-12-13 05:59:58.358429+00:00,139990,129990,11,114100
2021-12-14 05:49:30.346828+00:00,139990,129990,11,114100
2021-12-15 06:05:17.325479+00:00,139990,129990,11,114100
2021-12-16 15:42:41.698836+00:00,114990,99990,11,114100
2021-12-17 05:56:17.592566+00:00,114990,99990,11,114100
2021-12-18 05:51:01.201694+00:00,114990,99990,11,114100
2021-12-20 05:48:35.957020+00:00,114990,99990,11,114100
2021-12-21 05:55:56.449246+00:00,114990,99990,11,114100
2021-12-09 05:38:40.671149+00:00,189990,189990,43,29171
2021-12-10 14:07:37.522304+00:00,189990,189990,43,29171
2021-12-11 05:25:55.261813+00:00,189990,189990,43,29171
2021-12-12 05:21:22.262254+00:00,189990,189990,43,29171
2021-12-13 13:35:47.605770+00:00,189990,189990,43,29171
2021-12-14 05:01:35.861211+00:00,189990,189990,43,29171
2021-12-15 05:01:55.004335+00:00,189990,189990,43,29171
2021-12-16 05:18:10.713511+00:00,139990,139990,43,29171
2021-12-17 05:01:37.542215+00:00,139990,139990,43,29171
2021-12-18 05:06:00.608940+00:00,139990,139990,43,29171
2021-12-19 05:02:55.416388+00:00,139990,139990,43,29171
2021-12-20 05:10:31.777337+00:00,139990,139990,43,29171
2021-12-21 05:31:41.641732+00:00,139990,139990,43,29171
2021-12-09 04:44:25.363454+00:00,189990,189990,76,29171
2021-12-10 05:03:49.172219+00:00,189990,189990,76,29171
2021-12-11 04:59:37.705420+00:00,189990,189990,76,29171
2021-12-12 04:48:49.103039+00:00,189990,189990,76,29171
2021-12-13 04:51:46.931326+00:00,189990,189990,76,29171
2021-12-14 04:58:45.895165+00:00,189990,189990,76,29171
2021-12-15 04:59:21.261642+00:00,189990,189990,76,29171
2021-12-16 04:48:44.173807+00:00,189990,189990,76,29171
2021-12-17 04:55:15.929854+00:00,189990,189990,76,29171
2021-12-18 05:03:06.650771+00:00,189990,189990,76,29171
2021-12-19 05:01:34.532229+00:00,189990,189990,76,29171
2021-12-20 04:50:57.703926+00:00,189990,189990,76,29171
2021-12-21 04:47:09.754586+00:00,189990,189990,76,29171
2021-12-09 04:54:20.972595+00:00,199990,149990,67,29171
2021-12-10 04:54:49.550420+00:00,199990,149990,67,29171
2021-12-11 05:03:28.709130+00:00,199990,149990,67,29171
2021-12-12 05:01:35.716612+00:00,199990,149990,67,29171
2021-12-13 04:49:29.007776+00:00,199990,149990,67,29171
2021-12-14 04:50:48.353997+00:00,199990,149990,67,29171
2021-12-15 04:49:50.120520+00:00,199990,149990,67,29171
2021-12-16 04:49:59.051459+00:00,199990,149990,67,29171
2021-12-17 04:54:49.369413+00:00,199990,149990,67,29171
2021-12-18 05:02:30.936582+00:00,199990,149990,67,29171
2021-12-19 04:49:37.151214+00:00,199990,149990,67,29171
2021-12-20 04:47:32.034585+00:00,199990,149990,67,29171
2021-12-21 05:22:30.219683+00:00,149990,149990,67,29171
2021-12-09 05:50:07.518197+00:00,154990,154990,11,29171
2021-12-10 05:54:08.152947+00:00,139990,139990,11,29171
2021-12-11 05:51:57.609571+00:00,139990,139990,11,29171
2021-12-13 06:00:47.005082+00:00,139990,139990,11,29171
2021-12-14 05:49:52.763037+00:00,139990,139990,11,29171
2021-12-15 06:05:44.645396+00:00,139990,139990,11,29171
2021-12-16 15:43:18.063065+00:00,129990,119990,11,29171
2021-12-17 05:56:53.681967+00:00,129990,119990,11,29171
2021-12-18 05:51:32.858271+00:00,129990,119990,11,29171
2021-12-20 05:49:02.728502+00:00,129990,119990,11,29171
2021-12-20 08:02:07.771923+00:00,129990,119990,11,29171
2021-12-21 05:56:31.032043+00:00,129990,119990,11,29171
2021-12-10 04:51:43.638562+00:00,159990,159990,9,29171
2021-12-11 04:53:31.602740+00:00,149990,149990,9,29171
2021-12-12 04:52:48.222346+00:00,149990,149990,9,29171
2021-12-13 04:53:01.798576+00:00,149990,149990,9,29171
2021-12-14 05:24:51.260272+00:00,149990,149990,9,29171
2021-12-15 04:56:13.179999+00:00,149990,149990,9,29171
2021-12-16 04:55:07.909667+00:00,149990,149990,9,29171
2021-12-17 04:53:24.196642+00:00,149990,149990,9,29171
2021-12-18 04:52:41.852373+00:00,149990,149990,9,29171
2021-12-19 04:53:18.682998+00:00,149990,149990,9,29171
2021-12-20 04:51:05.179307+00:00,149990,149990,9,29171
2021-12-21 04:53:06.230137+00:00,149990,149990,9,29171
2021-12-09 05:23:37.177555+00:00,149990,139990,18,29171
2021-12-10 05:16:00.056483+00:00,149990,139990,18,29171
2021-12-12 05:08:20.589806+00:00,149990,139990,18,29171
2021-12-13 13:05:31.480446+00:00,149990,139990,18,29171
2021-12-14 05:04:15.337886+00:00,149990,139990,18,29171
2021-12-15 04:59:47.258302+00:00,149990,139990,18,29171
2021-12-17 05:17:23.705150+00:00,149990,129990,18,29171
2021-12-18 05:08:06.196474+00:00,139990,119990,18,29171
2021-12-19 05:22:34.618890+00:00,139990,119990,18,29171
2021-12-20 13:48:22.419013+00:00,139990,119990,18,29171
2021-12-21 04:50:14.787561+00:00,139990,119990,18,29171
2021-12-09 04:42:27.571147+00:00,169990,139990,5,29171
2021-12-10 04:42:10.818718+00:00,169990,139990,5,29171
2021-12-11 04:43:23.603617+00:00,169990,139990,5,29171
2021-12-12 04:49:44.444185+00:00,169990,139990,5,29171
2021-12-13 04:43:36.949172+00:00,169990,139990,5,29171
2021-12-14 04:47:29.094548+00:00,169990,139990,5,29171
2021-12-15 04:45:22.877042+00:00,169990,139990,5,29171
2021-12-16 04:45:51.297614+00:00,169990,139990,5,29171
2021-12-17 04:50:29.776177+00:00,129990,99990,5,29171
2021-12-18 04:47:13.008008+00:00,129990,99990,5,29171
2021-12-19 04:48:05.366048+00:00,129990,99990,5,29171
2021-12-20 04:47:36.701386+00:00,129990,99990,5,29171
2021-12-21 04:47:54.306229+00:00,129990,99990,5,29171
2021-12-09 04:44:21.924317+00:00,199990,199990,76,29171
2021-12-10 05:03:57.429410+00:00,199990,199990,76,29171
2021-12-11 04:59:33.299345+00:00,199990,199990,76,29171
2021-12-12 04:48:33.532266+00:00,199990,199990,76,29171
2021-12-13 04:51:26.078239+00:00,199990,199990,76,29171
2021-12-14 04:58:46.946048+00:00,199990,199990,76,29171
2021-12-15 04:59:14.456424+00:00,199990,199990,76,29171
2021-12-16 04:48:46.506691+00:00,199990,199990,76,29171
2021-12-17 04:55:12.522734+00:00,199990,199990,76,29171
2021-12-18 05:03:01.899433+00:00,199990,199990,76,29171
2021-12-19 05:01:45.047309+00:00,199990,199990,76,29171
2021-12-20 04:51:09.193106+00:00,199990,199990,76,29171
2021-12-21 04:47:13.233260+00:00,199990,199990,76,29171
2021-12-09 04:32:18.051350+00:00,199990,199990,88,29171
2021-12-10 04:32:29.410854+00:00,199990,199990,88,29171
2021-12-11 04:32:16.551943+00:00,199990,199990,88,29171
2021-12-12 04:32:14.636503+00:00,199990,199990,88,29171
2021-12-13 04:32:03.255894+00:00,199990,199990,88,29171
2021-12-14 04:32:28.911232+00:00,199990,199990,88,29171
2021-12-15 04:32:41.569653+00:00,159990,149990,88,29171
2021-12-16 04:32:34.140919+00:00,159990,149990,88,29171
